iter	RMSE
0	14.01614564
1	13.16848144
2	12.37322546
3	11.72562637
4	11.10545322
5	10.51578118
6	10.06460109
7	9.596605206
8	9.227871536
9	8.896281261
10	8.548630772
11	8.284609791
12	7.998756605
13	7.782747965
14	7.594964326
15	7.377102938
16	7.200373031
17	7.035526476
18	6.919296051
19	6.783361792
20	6.67272123
21	6.597279135
22	6.510092986
23	6.430076978
24	6.362390572
25	6.284364393
26	6.229869449
27	6.178286362
28	6.12946595
29	6.077989421
30	6.029225696
31	5.992224068
32	5.939434341
33	5.907936894
34	5.87229802
35	5.841164962
36	5.815576988
37	5.785806619
38	5.769392475
39	5.7467992
40	5.727756383
41	5.703293857
42	5.684953828
43	5.669237198
44	5.659323214
45	5.639481697
46	5.620802463
47	5.606602484
48	5.589207527
49	5.576928892
50	5.566627715
51	5.553874441
52	5.546591695
53	5.536395759
54	5.526169643
55	5.516954132
56	5.506871087
57	5.493424733
58	5.486497094
59	5.476160717
60	5.46839672
61	5.463201196
62	5.456377147
63	5.452347982
64	5.444511212
65	5.436128033
66	5.429800399
67	5.422722715
68	5.416740376
69	5.412966121
70	5.405395311
71	5.393784878
72	5.391712949
73	5.384976982
74	5.378536507
75	5.374448915
76	5.366084507
77	5.355533617
78	5.351255698
79	5.347948399
80	5.345439147
81	5.340477424
82	5.334868409
83	5.329850613
84	5.321687759
85	5.31752485
86	5.309645665
87	5.297934601
88	5.294724593
89	5.287898829
90	5.278211797
91	5.274007093
92	5.266597748
93	5.258784987
94	5.252052099
95	5.239912743
96	5.236107714
97	5.231486081
98	5.225611402
99	5.2221854
