iter	Passed	Remaining
0	59	59636
1	59	29891
2	60	19969
3	60	14989
4	60	12019
5	60	10042
6	60	8622
7	60	7559
8	61	6724
9	61	6064
10	61	5524
11	61	5072
12	61	4692
13	61	4365
14	62	4082
15	62	3833
16	62	3613
17	62	3417
18	62	3243
19	63	3087
20	63	2945
21	63	2816
22	63	2698
23	63	2589
24	63	2489
25	64	2399
26	64	2314
27	64	2235
28	64	2162
29	64	2094
30	64	2030
31	65	1970
32	65	1913
33	65	1860
34	65	1810
35	65	1763
36	66	1718
37	66	1676
38	66	1636
39	66	1597
40	66	1561
41	66	1526
42	67	1493
43	67	1462
44	67	1432
45	67	1402
46	67	1374
47	67	1348
48	68	1322
49	68	1298
50	68	1274
51	68	1252
52	68	1230
53	69	1209
54	69	1188
55	69	1167
56	69	1149
57	69	1130
58	69	1113
59	69	1096
60	70	1078
61	70	1062
62	70	1045
63	70	1030
64	70	1015
65	70	1001
66	70	987
67	71	974
68	71	961
69	71	949
70	71	937
71	71	925
72	71	913
73	72	902
74	72	891
75	72	880
76	72	870
77	72	860
78	72	850
79	73	840
80	73	831
81	73	822
82	73	812
83	73	804
84	73	795
85	74	787
86	74	778
87	74	770
88	74	762
89	74	754
90	74	746
91	74	739
92	75	732
93	75	725
94	75	718
95	75	712
96	75	705
97	75	698
98	76	692
99	76	686
100	76	680
101	76	674
102	76	668
103	76	662
104	77	657
105	77	651
106	77	646
107	77	640
108	77	636
109	77	630
110	78	625
111	78	620
112	78	615
113	78	610
114	78	605
115	78	600
116	78	595
117	79	591
118	79	586
119	79	582
120	79	577
121	79	573
122	79	569
123	80	565
124	80	561
125	80	557
126	80	553
127	80	550
128	80	546
129	81	542
130	81	538
131	81	535
132	81	531
133	81	528
134	81	524
135	82	521
136	82	517
137	82	514
138	82	510
139	82	507
140	82	504
141	82	501
142	83	498
143	83	495
144	83	492
145	83	489
146	83	486
147	83	483
148	84	480
149	84	477
150	84	474
151	84	471
152	84	469
153	84	466
154	85	464
155	85	461
156	85	458
157	85	456
158	85	453
159	85	451
160	86	448
161	86	446
162	86	444
163	86	441
164	86	439
165	86	436
166	87	434
167	87	431
168	87	429
169	87	427
170	87	425
171	87	422
172	87	420
173	88	418
174	88	416
175	88	413
176	88	411
177	88	409
178	88	407
179	89	405
180	89	403
181	89	401
182	89	399
183	89	397
184	89	395
185	90	393
186	90	391
187	90	390
188	90	388
189	90	386
190	90	384
191	90	382
192	91	380
193	91	379
194	91	377
195	91	375
196	91	373
197	91	372
198	92	370
199	92	368
200	92	367
201	92	365
202	92	363
203	92	362
204	92	360
205	93	358
206	93	357
207	93	355
208	93	354
209	93	352
210	93	351
211	94	349
212	94	348
213	94	346
214	94	345
215	94	343
216	94	342
217	95	340
218	95	339
219	95	338
220	95	337
221	95	335
222	95	334
223	96	333
224	96	332
225	96	330
226	96	329
227	96	328
228	97	326
229	97	325
230	97	324
231	97	323
232	97	321
233	97	320
234	98	319
235	98	318
236	98	317
237	98	315
238	98	314
239	99	313
240	99	312
241	99	311
242	99	310
243	99	309
244	99	308
245	100	306
246	100	305
247	100	304
248	100	303
249	100	302
250	100	301
251	101	299
252	101	298
253	101	297
254	101	296
255	101	295
256	101	294
257	102	293
258	102	292
259	102	291
260	102	290
261	102	289
262	102	288
263	103	287
264	103	286
265	103	285
266	103	284
267	103	283
268	103	282
269	104	281
270	104	280
271	104	279
272	104	278
273	104	277
274	104	276
275	104	275
276	105	274
277	105	273
278	105	272
279	105	271
280	105	270
281	105	269
282	106	268
283	106	267
284	106	266
285	106	265
286	106	264
287	106	263
288	106	262
289	107	262
290	107	261
291	107	260
292	107	259
293	107	258
294	107	257
295	107	256
296	108	255
297	108	254
298	108	254
299	108	253
300	108	252
301	108	251
302	109	250
303	109	249
304	109	249
305	109	248
306	109	247
307	109	246
308	109	245
309	110	245
310	110	244
311	110	243
312	110	242
313	110	241
314	110	241
315	111	240
316	111	239
317	111	238
318	111	238
319	111	237
320	111	236
321	112	236
322	112	235
323	112	234
324	112	233
325	112	233
326	112	232
327	113	231
328	113	230
329	113	230
330	113	229
331	113	228
332	113	228
333	114	227
334	114	226
335	114	225
336	114	225
337	114	224
338	114	223
339	114	223
340	115	222
341	115	221
342	115	221
343	115	220
344	115	219
345	115	219
346	116	218
347	116	218
348	116	217
349	117	217
350	117	217
351	117	216
352	117	216
353	118	215
354	118	214
355	118	214
356	118	213
357	118	212
358	118	212
359	119	211
360	119	211
361	119	210
362	119	209
363	119	209
364	119	208
365	119	207
366	120	207
367	120	206
368	120	206
369	120	205
370	120	204
371	121	204
372	121	203
373	121	203
374	121	202
375	121	202
376	121	201
377	122	200
378	122	200
379	122	199
380	122	199
381	122	198
382	123	198
383	123	197
384	123	197
385	123	196
386	123	196
387	123	195
388	124	194
389	124	194
390	124	193
391	124	193
392	124	192
393	124	191
394	124	191
395	125	190
396	125	190
397	125	189
398	125	189
399	125	188
400	126	188
401	126	187
402	126	187
403	126	186
404	126	186
405	126	185
406	127	185
407	127	184
408	127	184
409	127	183
410	127	182
411	127	182
412	127	181
413	128	181
414	128	180
415	128	180
416	128	179
417	128	179
418	128	178
419	129	178
420	129	177
421	129	177
422	129	176
423	129	176
424	129	175
425	130	175
426	130	174
427	130	174
428	130	173
429	130	173
430	130	172
431	131	172
432	131	171
433	131	171
434	131	170
435	131	170
436	131	169
437	131	169
438	132	168
439	132	168
440	132	167
441	132	167
442	132	166
443	132	166
444	132	165
445	133	165
446	133	164
447	133	164
448	133	163
449	133	163
450	133	162
451	134	162
452	134	162
453	134	161
454	134	161
455	134	160
456	134	160
457	134	159
458	135	159
459	135	158
460	135	158
461	135	157
462	135	157
463	135	157
464	136	156
465	136	156
466	136	155
467	136	155
468	136	154
469	136	154
470	137	154
471	137	153
472	137	153
473	137	152
474	137	152
475	137	151
476	138	151
477	138	150
478	138	150
479	138	150
480	138	149
481	138	149
482	138	148
483	139	148
484	139	147
485	139	147
486	139	147
487	139	146
488	139	146
489	140	145
490	140	145
491	140	145
492	140	144
493	140	144
494	140	143
495	141	143
496	141	142
497	141	142
498	141	142
499	141	141
500	141	141
501	142	140
502	142	140
503	142	140
504	142	139
505	142	139
506	142	138
507	143	138
508	143	138
509	143	137
510	143	137
511	143	136
512	143	136
513	144	136
514	144	135
515	144	135
516	144	135
517	144	134
518	144	134
519	145	134
520	145	133
521	145	133
522	145	132
523	145	132
524	146	132
525	146	131
526	146	131
527	146	131
528	146	130
529	146	130
530	147	129
531	147	129
532	147	129
533	147	128
534	147	128
535	147	127
536	148	127
537	148	127
538	148	126
539	148	126
540	148	126
541	148	125
542	148	125
543	149	125
544	149	124
545	149	124
546	149	123
547	149	123
548	149	123
549	150	122
550	150	122
551	150	122
552	150	121
553	150	121
554	150	121
555	151	120
556	151	120
557	151	119
558	151	119
559	151	119
560	151	118
561	152	118
562	152	118
563	152	117
564	152	117
565	152	117
566	152	116
567	153	116
568	153	116
569	153	115
570	153	115
571	153	114
572	153	114
573	153	114
574	154	113
575	154	113
576	154	113
577	154	112
578	154	112
579	154	112
580	155	111
581	155	111
582	155	111
583	155	110
584	155	110
585	155	110
586	156	109
587	156	109
588	156	109
589	156	108
590	156	108
591	157	108
592	157	107
593	157	107
594	157	107
595	157	106
596	157	106
597	158	106
598	158	105
599	158	105
600	158	105
601	158	104
602	158	104
603	159	104
604	159	104
605	159	103
606	159	103
607	159	103
608	159	102
609	160	102
610	160	102
611	160	101
612	160	101
613	160	101
614	160	100
615	161	100
616	161	100
617	161	99
618	161	99
619	161	99
620	161	98
621	161	98
622	162	98
623	162	97
624	162	97
625	162	97
626	162	96
627	162	96
628	162	96
629	163	95
630	163	95
631	163	95
632	163	94
633	164	94
634	164	94
635	164	94
636	164	93
637	164	93
638	164	93
639	165	92
640	165	92
641	165	92
642	165	91
643	165	91
644	165	91
645	166	91
646	166	90
647	166	90
648	166	90
649	166	89
650	167	89
651	167	89
652	167	88
653	167	88
654	167	88
655	168	88
656	168	87
657	168	87
658	168	87
659	168	86
660	169	86
661	169	86
662	169	86
663	169	85
664	169	85
665	170	85
666	170	84
667	170	84
668	170	84
669	170	84
670	170	83
671	171	83
672	171	83
673	171	82
674	171	82
675	171	82
676	171	82
677	172	81
678	172	81
679	172	81
680	172	80
681	172	80
682	173	80
683	173	80
684	173	79
685	173	79
686	173	79
687	174	78
688	174	78
689	174	78
690	174	78
691	174	77
692	175	77
693	175	77
694	175	76
695	175	76
696	175	76
697	176	76
698	176	75
699	176	75
700	176	75
701	176	75
702	176	74
703	177	74
704	177	74
705	177	73
706	177	73
707	177	73
708	178	73
709	178	72
710	178	72
711	178	72
712	178	71
713	179	71
714	179	71
715	179	71
716	179	70
717	179	70
718	179	70
719	180	70
720	180	69
721	180	69
722	180	69
723	180	68
724	180	68
725	181	68
726	181	68
727	181	67
728	181	67
729	181	67
730	181	66
731	182	66
732	182	66
733	182	66
734	182	65
735	182	65
736	183	65
737	183	65
738	183	64
739	183	64
740	183	64
741	184	63
742	184	63
743	184	63
744	184	63
745	184	62
746	184	62
747	185	62
748	185	62
749	185	61
750	185	61
751	185	61
752	185	60
753	186	60
754	186	60
755	186	60
756	186	59
757	186	59
758	186	59
759	187	59
760	187	58
761	187	58
762	187	58
763	187	58
764	187	57
765	188	57
766	188	57
767	188	56
768	188	56
769	188	56
770	188	56
771	189	55
772	189	55
773	189	55
774	189	55
775	189	54
776	190	54
777	190	54
778	190	54
779	190	53
780	190	53
781	190	53
782	191	52
783	191	52
784	191	52
785	191	52
786	191	51
787	191	51
788	192	51
789	192	51
790	192	50
791	192	50
792	192	50
793	193	50
794	193	49
795	193	49
796	193	49
797	193	49
798	193	48
799	194	48
800	194	48
801	194	47
802	194	47
803	194	47
804	194	47
805	195	46
806	195	46
807	195	46
808	195	46
809	195	45
810	196	45
811	196	45
812	196	45
813	196	44
814	196	44
815	196	44
816	197	44
817	197	43
818	197	43
819	197	43
820	197	43
821	197	42
822	198	42
823	198	42
824	198	42
825	198	41
826	198	41
827	198	41
828	199	41
829	199	40
830	199	40
831	199	40
832	199	40
833	200	39
834	200	39
835	200	39
836	200	39
837	200	38
838	200	38
839	201	38
840	201	38
841	201	37
842	201	37
843	201	37
844	201	37
845	202	36
846	202	36
847	202	36
848	202	36
849	202	35
850	202	35
851	203	35
852	203	35
853	203	34
854	203	34
855	203	34
856	204	34
857	204	33
858	204	33
859	204	33
860	204	33
861	204	32
862	205	32
863	205	32
864	205	32
865	205	31
866	205	31
867	206	31
868	206	31
869	206	30
870	206	30
871	206	30
872	206	30
873	207	29
874	207	29
875	207	29
876	207	29
877	207	28
878	207	28
879	208	28
880	208	28
881	208	27
882	208	27
883	208	27
884	208	27
885	209	26
886	209	26
887	209	26
888	209	26
889	209	25
890	210	25
891	210	25
892	210	25
893	210	24
894	210	24
895	210	24
896	211	24
897	211	24
898	211	23
899	211	23
900	211	23
901	212	23
902	212	22
903	212	22
904	212	22
905	212	22
906	212	21
907	213	21
908	213	21
909	213	21
910	213	20
911	213	20
912	214	20
913	214	20
914	214	19
915	214	19
916	214	19
917	215	19
918	215	18
919	215	18
920	215	18
921	215	18
922	216	18
923	216	17
924	216	17
925	216	17
926	216	17
927	216	16
928	217	16
929	217	16
930	217	16
931	217	15
932	217	15
933	218	15
934	218	15
935	218	14
936	218	14
937	218	14
938	218	14
939	219	13
940	219	13
941	219	13
942	219	13
943	219	13
944	220	12
945	220	12
946	220	12
947	220	12
948	220	11
949	220	11
950	221	11
951	221	11
952	221	10
953	221	10
954	221	10
955	221	10
956	222	9
957	222	9
958	222	9
959	222	9
960	222	9
961	223	8
962	223	8
963	223	8
964	223	8
965	223	7
966	224	7
967	224	7
968	224	7
969	224	6
970	224	6
971	224	6
972	225	6
973	225	6
974	225	5
975	225	5
976	225	5
977	225	5
978	226	4
979	226	4
980	226	4
981	226	4
982	226	3
983	226	3
984	227	3
985	227	3
986	227	2
987	227	2
988	228	2
989	228	2
990	228	2
991	228	1
992	228	1
993	229	1
994	229	1
995	229	0
996	229	0
997	229	0
998	229	0
999	230	0
