iter	Passed	Remaining
0	59	59352
1	59	29773
2	60	19942
3	60	15008
4	60	12050
5	60	10073
6	61	8663
7	61	7615
8	61	6790
9	61	6129
10	62	5591
11	62	5141
12	62	4761
13	63	4444
14	63	4161
15	63	3913
16	63	3695
17	64	3500
18	64	3326
19	64	3169
20	64	3028
21	65	2899
22	65	2781
23	65	2672
24	65	2572
25	66	2480
26	66	2395
27	66	2317
28	67	2246
29	67	2177
30	67	2113
31	67	2052
32	68	1995
33	68	1941
34	68	1891
35	68	1844
36	69	1798
37	69	1755
38	69	1717
39	69	1678
40	70	1642
41	70	1606
42	70	1572
43	70	1541
44	71	1510
45	71	1481
46	71	1452
47	71	1426
48	72	1400
49	72	1375
50	72	1352
51	72	1329
52	73	1306
53	73	1285
54	73	1266
55	73	1246
56	74	1227
57	74	1209
58	74	1191
59	74	1173
60	75	1157
61	75	1142
62	75	1127
63	76	1111
64	76	1097
65	76	1082
66	76	1068
67	76	1055
68	77	1042
69	77	1029
70	77	1016
71	77	1004
72	78	992
73	78	980
74	78	969
75	78	958
76	79	948
77	79	937
78	79	927
79	79	918
80	80	909
81	80	899
82	80	888
83	80	880
84	80	871
85	81	863
86	81	854
87	81	846
88	81	838
89	82	830
90	82	823
91	82	815
92	82	808
93	83	801
94	84	801
95	84	794
96	84	787
97	84	781
98	85	774
99	85	767
100	85	761
101	85	755
102	86	749
103	86	743
104	86	738
105	86	732
106	87	726
107	87	721
108	87	715
109	87	710
110	88	704
111	88	699
112	88	694
113	88	689
114	88	684
115	89	679
116	89	674
117	89	669
118	89	664
119	90	660
120	90	655
121	90	650
122	90	646
123	90	642
124	91	638
125	91	634
126	91	629
127	91	625
128	92	621
129	92	618
130	92	614
131	92	611
132	93	608
133	93	604
134	93	601
135	94	597
136	94	594
137	94	590
138	94	587
139	95	583
140	95	580
141	95	576
142	95	573
143	95	570
144	96	567
145	96	564
146	96	560
147	96	557
148	97	554
149	97	551
150	97	549
151	97	545
152	98	543
153	98	540
154	98	537
155	98	534
156	99	532
157	99	529
158	99	526
159	99	524
160	99	520
161	100	518
162	100	515
163	100	513
164	100	510
165	101	508
166	101	506
167	101	503
168	101	501
169	102	499
170	102	496
171	102	494
172	102	492
173	103	489
174	103	487
175	103	485
176	103	482
177	104	480
178	104	478
179	104	476
180	104	474
181	105	472
182	105	470
183	105	468
184	105	466
185	106	464
186	106	463
187	106	461
188	106	458
189	107	457
190	107	455
191	107	453
192	107	451
193	108	449
194	108	447
195	108	445
196	108	444
197	109	442
198	109	440
199	109	438
200	109	436
201	110	435
202	110	433
203	110	431
204	110	429
205	111	428
206	111	426
207	111	424
208	111	423
209	112	421
210	112	419
211	112	418
212	112	416
213	113	415
214	113	413
215	113	411
216	113	410
217	113	408
218	114	407
219	114	405
220	114	403
221	114	402
222	115	400
223	115	399
224	115	397
225	115	396
226	115	395
227	116	393
228	116	392
229	116	390
230	116	389
231	117	387
232	117	386
233	117	384
234	117	383
235	118	382
236	118	380
237	118	379
238	118	378
239	118	376
240	119	375
241	119	374
242	119	372
243	119	371
244	120	370
245	120	368
246	120	367
247	120	366
248	121	365
249	121	363
250	121	362
251	121	361
252	122	360
253	122	359
254	122	358
255	122	356
256	123	355
257	123	354
258	123	353
259	123	352
260	124	351
261	124	350
262	124	349
263	124	347
264	125	346
265	125	345
266	125	344
267	125	343
268	125	342
269	126	341
270	126	340
271	126	339
272	126	338
273	127	337
274	127	336
275	127	334
276	127	334
277	128	332
278	128	331
279	128	330
280	128	329
281	129	328
282	129	327
283	129	326
284	129	325
285	130	324
286	130	323
287	130	322
288	130	321
289	131	320
290	131	319
291	131	318
292	131	317
293	132	317
294	132	316
295	132	315
296	132	314
297	132	313
298	133	312
299	133	311
300	133	310
301	133	309
302	134	308
303	134	307
304	134	306
305	134	305
306	135	304
307	135	304
308	135	303
309	135	302
310	136	301
311	136	300
312	136	299
313	136	298
314	137	298
315	137	297
316	137	296
317	137	295
318	138	294
319	138	294
320	138	293
321	138	292
322	139	291
323	139	290
324	139	290
325	139	289
326	140	288
327	140	287
328	140	286
329	140	286
330	141	285
331	141	284
332	141	283
333	141	282
334	142	282
335	142	281
336	142	280
337	142	279
338	143	278
339	143	278
340	143	277
341	143	276
342	144	275
343	144	275
344	144	274
345	144	273
346	145	272
347	145	272
348	145	271
349	145	270
350	146	270
351	146	269
352	146	268
353	146	267
354	147	267
355	147	266
356	147	265
357	147	264
358	147	264
359	148	263
360	148	262
361	148	262
362	148	261
363	149	260
364	149	260
365	149	259
366	149	258
367	150	257
368	150	257
369	150	256
370	150	255
371	151	255
372	151	254
373	151	254
374	152	253
375	152	252
376	152	251
377	152	251
378	152	250
379	153	249
380	153	249
381	153	248
382	154	248
383	154	247
384	154	246
385	154	246
386	154	245
387	155	244
388	155	244
389	155	243
390	155	242
391	156	242
392	156	241
393	156	240
394	156	240
395	157	239
396	157	239
397	157	238
398	157	237
399	158	237
400	158	236
401	158	235
402	158	235
403	159	234
404	159	234
405	159	233
406	159	232
407	160	232
408	160	231
409	160	230
410	160	230
411	161	229
412	161	229
413	161	228
414	161	228
415	161	227
416	162	226
417	162	226
418	162	225
419	162	224
420	163	224
421	163	223
422	163	223
423	163	222
424	164	221
425	164	221
426	164	220
427	164	220
428	164	219
429	165	219
430	165	218
431	165	217
432	165	217
433	166	216
434	166	216
435	166	215
436	166	215
437	167	214
438	167	213
439	167	213
440	167	212
441	168	212
442	168	211
443	168	211
444	169	211
445	169	210
446	169	209
447	170	209
448	170	208
449	170	208
450	170	207
451	171	207
452	171	206
453	171	206
454	171	205
455	171	205
456	172	204
457	172	204
458	172	203
459	172	203
460	173	202
461	173	201
462	173	201
463	173	200
464	174	200
465	174	199
466	174	199
467	175	199
468	175	198
469	175	197
470	175	197
471	176	196
472	176	196
473	176	195
474	176	195
475	177	194
476	177	194
477	177	193
478	177	193
479	178	192
480	178	192
481	178	191
482	178	191
483	178	190
484	179	190
485	179	189
486	179	189
487	179	188
488	180	188
489	180	187
490	180	187
491	181	186
492	181	186
493	181	186
494	181	185
495	182	185
496	182	184
497	182	184
498	183	183
499	183	183
500	183	182
501	183	182
502	184	182
503	184	181
504	184	181
505	185	180
506	185	180
507	185	179
508	185	179
509	185	178
510	186	178
511	186	177
512	186	177
513	186	176
514	187	176
515	187	175
516	187	175
517	187	174
518	188	174
519	188	173
520	188	173
521	188	172
522	189	172
523	189	172
524	189	171
525	189	171
526	190	170
527	190	170
528	190	169
529	190	169
530	191	168
531	191	168
532	191	167
533	191	167
534	192	166
535	192	166
536	192	166
537	192	165
538	192	165
539	193	164
540	193	164
541	193	163
542	193	163
543	194	162
544	194	162
545	194	161
546	194	161
547	195	160
548	195	160
549	195	160
550	195	159
551	196	159
552	196	158
553	196	158
554	196	157
555	197	157
556	197	156
557	197	156
558	197	156
559	197	155
560	198	155
561	198	154
562	198	154
563	198	153
564	199	153
565	199	152
566	199	152
567	199	151
568	200	151
569	200	151
570	200	150
571	200	150
572	201	149
573	201	149
574	201	149
575	201	148
576	202	148
577	202	147
578	202	147
579	202	146
580	203	146
581	203	146
582	203	145
583	203	145
584	204	144
585	204	144
586	204	143
587	204	143
588	204	143
589	205	142
590	205	142
591	205	141
592	205	141
593	206	140
594	206	140
595	206	140
596	206	139
597	207	139
598	207	138
599	207	138
600	207	137
601	208	137
602	208	137
603	208	136
604	208	136
605	208	135
606	209	135
607	209	134
608	209	134
609	209	134
610	210	133
611	210	133
612	210	132
613	210	132
614	211	132
615	211	131
616	211	131
617	211	130
618	212	130
619	212	130
620	212	129
621	212	129
622	212	128
623	213	128
624	213	128
625	213	127
626	213	127
627	214	126
628	214	126
629	214	126
630	214	125
631	215	125
632	215	124
633	215	124
634	215	124
635	215	123
636	216	123
637	216	122
638	216	122
639	217	122
640	217	121
641	217	121
642	217	120
643	218	120
644	218	120
645	218	119
646	218	119
647	219	119
648	219	118
649	219	118
650	219	117
651	220	117
652	220	117
653	220	116
654	220	116
655	221	115
656	221	115
657	221	115
658	221	114
659	222	114
660	222	114
661	222	113
662	222	113
663	223	112
664	223	112
665	223	112
666	223	111
667	224	111
668	224	110
669	224	110
670	224	110
671	225	109
672	225	109
673	225	109
674	225	108
675	226	108
676	226	107
677	226	107
678	226	107
679	226	106
680	227	106
681	227	106
682	227	105
683	227	105
684	228	104
685	228	104
686	228	104
687	228	103
688	229	103
689	229	103
690	229	102
691	229	102
692	230	101
693	230	101
694	230	101
695	230	100
696	231	100
697	231	100
698	231	99
699	231	99
700	232	99
701	232	98
702	232	98
703	232	97
704	233	97
705	233	97
706	233	96
707	233	96
708	234	96
709	234	95
710	234	95
711	234	94
712	234	94
713	235	94
714	235	93
715	235	93
716	235	93
717	236	92
718	236	92
719	236	92
720	236	91
721	237	91
722	237	90
723	237	90
724	237	90
725	238	89
726	238	89
727	238	89
728	238	88
729	239	88
730	239	88
731	239	87
732	240	87
733	240	87
734	240	86
735	240	86
736	240	85
737	241	85
738	241	85
739	241	84
740	241	84
741	242	84
742	242	83
743	242	83
744	242	83
745	242	82
746	243	82
747	243	82
748	243	81
749	243	81
750	244	80
751	244	80
752	244	80
753	244	79
754	245	79
755	245	79
756	245	78
757	245	78
758	246	78
759	246	77
760	246	77
761	246	77
762	247	76
763	247	76
764	247	76
765	247	75
766	248	75
767	248	74
768	248	74
769	248	74
770	249	73
771	249	73
772	249	73
773	249	72
774	249	72
775	250	72
776	250	71
777	250	71
778	250	71
779	251	70
780	251	70
781	251	70
782	251	69
783	252	69
784	252	69
785	252	68
786	252	68
787	253	68
788	253	67
789	253	67
790	253	67
791	254	66
792	254	66
793	254	66
794	254	65
795	255	65
796	255	65
797	255	64
798	255	64
799	256	64
800	256	63
801	256	63
802	256	62
803	256	62
804	257	62
805	257	61
806	257	61
807	257	61
808	258	60
809	258	60
810	258	60
811	258	59
812	258	59
813	259	59
814	259	58
815	259	58
816	259	58
817	259	57
818	260	57
819	260	57
820	260	56
821	260	56
822	261	56
823	261	55
824	261	55
825	261	55
826	262	54
827	262	54
828	262	54
829	262	53
830	263	53
831	263	53
832	263	52
833	263	52
834	264	52
835	264	51
836	264	51
837	264	51
838	264	50
839	265	50
840	265	50
841	265	49
842	265	49
843	266	49
844	266	48
845	266	48
846	266	48
847	267	47
848	267	47
849	267	47
850	267	46
851	267	46
852	268	46
853	268	45
854	268	45
855	268	45
856	269	44
857	269	44
858	269	44
859	269	43
860	270	43
861	270	43
862	270	42
863	270	42
864	270	42
865	271	41
866	271	41
867	271	41
868	271	40
869	272	40
870	272	40
871	272	40
872	272	39
873	273	39
874	273	39
875	273	38
876	273	38
877	273	38
878	274	37
879	274	37
880	274	37
881	274	36
882	275	36
883	275	36
884	275	35
885	275	35
886	276	35
887	276	34
888	276	34
889	276	34
890	277	33
891	277	33
892	277	33
893	277	32
894	278	32
895	278	32
896	278	31
897	278	31
898	279	31
899	279	31
900	279	30
901	279	30
902	280	30
903	280	29
904	280	29
905	280	29
906	281	28
907	281	28
908	281	28
909	281	27
910	281	27
911	282	27
912	282	26
913	282	26
914	283	26
915	283	25
916	283	25
917	283	25
918	283	25
919	284	24
920	284	24
921	284	24
922	284	23
923	285	23
924	285	23
925	285	22
926	285	22
927	286	22
928	286	21
929	286	21
930	286	21
931	287	20
932	287	20
933	287	20
934	287	20
935	287	19
936	288	19
937	288	19
938	288	18
939	288	18
940	289	18
941	289	17
942	289	17
943	289	17
944	290	16
945	290	16
946	290	16
947	290	15
948	291	15
949	291	15
950	291	15
951	291	14
952	292	14
953	292	14
954	293	13
